dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
telco,7,AMSCO,logistic_regression,0.7918006433401996,0.8126330731014905,0.6451612903225806,0.8538737761244155,29.519434690475464
telco,7,AMSCO,random_forest,0.727016663488316,0.7437899219304471,0.6312563840653729,0.8326061122736315,203.4392364025116
telco,7,Optuna (TPE),logistic_regression,0.7918006433401996,0.8126330731014905,0.6451612903225806,0.8538841096385853,31.29946208000183
telco,7,Optuna (TPE),random_forest,0.7413909513144976,0.7494677075940384,0.6288117770767613,0.8394301066935339,239.16338396072388
