dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
credit,2,AMSCO,logistic_regression,0.9774966664450988,0.9760348583877996,0.431924882629108,0.990238775510204,111.40855145454407
credit,2,AMSCO,random_forest,0.9978214665949927,0.9980194097841156,0.8947368421052632,0.9919168367346938,1360.7521622180939
credit,2,Optuna (TPE),logistic_regression,0.9775214250487135,0.9760348583877996,0.431924882629108,0.9902357142857143,48.10642981529236
credit,2,Optuna (TPE),random_forest,0.9978462251986073,0.997722321251733,0.8808290155440415,0.9909494897959183,1014.1583614349365
