dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
adult,9,AMSCO,logistic_regression,0.8096639510984843,0.8102159893540792,0.680565127498277,0.9053262066903738,61.85256385803223
adult,9,AMSCO,random_forest,0.825608618551508,0.8247517657897431,0.6959147424511545,0.914252554928208,546.4364106655121
adult,9,Optuna (TPE),logistic_regression,0.8096639510984843,0.8102159893540792,0.680565127498277,0.9053229834235444,40.16632962226868
adult,9,Optuna (TPE),random_forest,0.8330306923233248,0.8305865492885659,0.6974958874063243,0.9122847217497643,780.9562058448792
