dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
credit,2,AMSCO,logistic_regression,0.9774719139706098,0.43865838261831513,0.9778013469652709,1.0,0.9774966695096616,0.9760348583877996,0.431924882629108,0.9902326530612244,114.93340277671814
credit,2,AMSCO,random_forest,0.9976481716925039,0.8756274620770776,0.9788953363356054,1.0,0.997796704926815,0.9978213507625272,0.8854166666666666,0.9930346938775511,820.2563211917877
credit,2,Optuna (TPE),logistic_regression,0.9774719109060468,0.4387327496876055,0.9777955128205129,1.0,0.9775214250487135,0.9760348583877996,0.431924882629108,0.9902357142857143,113.32053589820862
credit,2,Optuna (TPE),random_forest,0.9976729272315555,0.8767095910694234,0.975138167396949,1.0,0.9978462251986073,0.997722321251733,0.8808290155440415,0.9909494897959183,1372.6901633739471
