dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
adult,5,AMSCO,logistic_regression,0.8112508496897067,0.6819448780811487,0.9080356368598972,1.0,0.8115579776181374,0.8021291841539564,0.6699675601843947,0.899908585850388,44.89847803115845
adult,5,AMSCO,random_forest,0.8264785501554783,0.6975078481560499,0.9167977570395834,8.4,0.825839026725167,0.8200429931415703,0.693086592178771,0.9123859380840372,607.808375120163
adult,5,Optuna (TPE),logistic_regression,0.8112508496897066,0.6819957822487991,0.9080095162424401,1.0,0.8117627121031022,0.8021291841539564,0.669742012643089,0.9000458624823139,69.40085220336914
adult,5,Optuna (TPE),random_forest,0.833440230070836,0.7007664674804437,0.9161406643141718,9.0,0.8345663123147407,0.8287439860784113,0.6964253311558701,0.9112764435947299,996.9343156814575
