dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
credit,6,AMSCO,logistic_regression,0.9784621692428761,0.4501564122202268,0.9816635142810775,1.0,0.9784621692428761,0.9760348583877996,0.4182692307692308,0.968219387755102,81.01146912574768
credit,6,AMSCO,random_forest,0.9976976643832302,0.8777486343287336,0.9815689873417723,1.0,0.9978214451430525,0.997722321251733,0.8770053475935828,0.9575647959183675,824.2761445045471
credit,6,Optuna (TPE),logistic_regression,0.9783631440221058,0.44910899824914646,0.9816352929243752,1.0,0.9784621692428761,0.9761338878985938,0.42206235011990406,0.9682122448979592,81.6232213973999
credit,6,Optuna (TPE),random_forest,0.9976234008306374,0.874849830712882,0.982492088607595,1.0,0.9977471785258969,0.9976232917409388,0.8723404255319149,0.9758698979591837,1418.4536981582642
