dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
adult,2,AMSCO,logistic_regression,0.8069768011579525,0.8157436789845429,0.6894409937888198,0.9115669117385506,75.22347259521484
adult,2,AMSCO,random_forest,0.8320836610503222,0.8331456648582249,0.7009174311926606,0.9174918805332988,687.8017809391022
adult,2,Optuna (TPE),logistic_regression,0.8070535700395685,0.8158460436073293,0.6895599654874892,0.9115802077142214,37.14183950424194
adult,2,Optuna (TPE),random_forest,0.8321860839698945,0.8334527587265841,0.7006439742410303,0.9174837360287212,700.5170931816101
