dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
telco,3,AMSCO,logistic_regression,0.7999643814588157,0.7835344215755855,0.5927903871829105,0.8396949029941358,37.65724420547485
telco,3,AMSCO,random_forest,0.742809231191125,0.7409510290986515,0.6112886048988285,0.8190705004004237,221.0208456516266
telco,3,Optuna (TPE),logistic_regression,0.7992546899059262,0.7863733144073811,0.594885598923284,0.8394623989253146,17.739685535430908
telco,3,Optuna (TPE),random_forest,0.748133099869031,0.7501774308019872,0.6190476190476191,0.8177710609935676,211.70064401626587
