dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
breast_cancer,8,AMSCO,logistic_regression,0.9780219780219781,0.9736842105263158,0.9790209790209791,0.9976851851851851,9.954493045806885
breast_cancer,8,AMSCO,random_forest,0.9692307692307691,0.9736842105263158,0.9790209790209791,0.9986772486772486,101.26256537437439
breast_cancer,8,Optuna (TPE),logistic_regression,0.9780219780219779,0.9736842105263158,0.9790209790209791,0.9976851851851851,3.649563789367676
breast_cancer,8,Optuna (TPE),random_forest,0.9692307692307691,0.9736842105263158,0.9790209790209791,0.9990079365079365,72.26367783546448
