dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
credit,4,AMSCO,logistic_regression,0.9771995877182249,0.9788076846900376,0.4512820512820513,0.9817734693877551,128.32163619995117
credit,4,AMSCO,random_forest,0.9977967141205036,0.9975242622301446,0.8663101604278075,0.990030612244898,1356.2023820877075
credit,4,Optuna (TPE),logistic_regression,0.9772738573999433,0.978510596157655,0.44783715012722647,0.9818020408163266,42.92316555976868
credit,4,Optuna (TPE),random_forest,0.9978462251986073,0.9976232917409388,0.8709677419354839,0.9857933673469388,766.6122560501099
