dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
adult,8,AMSCO,logistic_regression,0.8092546164085952,0.6795986952850848,0.9068489346225425,1.2,0.809433775458554,0.8063261336881974,0.6779026217228464,0.9046276787217997,41.39020824432373
adult,8,AMSCO,random_forest,0.8242521936364033,0.6962283346848593,0.9155555272845328,6.2,0.8314183525771369,0.8269014228682567,0.6948204295253564,0.91408747761988,428.5595405101776
adult,8,Optuna (TPE),logistic_regression,0.8094081836479334,0.6798586380301671,0.9068448564996683,1.0,0.809433772183431,0.8064284983109837,0.6780180486974289,0.9046294630302231,78.04691934585571
adult,8,Optuna (TPE),random_forest,0.8319045969789285,0.6989385086616742,0.9146165927144818,7.0,0.8330306693974642,0.8292558091923431,0.6957314848595403,0.9132679332493672,917.1619040966034
