dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
adult,4,AMSCO,logistic_regression,0.8102270822863176,0.6809288050136294,0.9068227150843841,1.0,0.8108413053919495,0.8069403214249156,0.676056338028169,0.904947185046252,40.486334800720215
adult,4,AMSCO,random_forest,0.8212577913127692,0.6925453474940817,0.9140622206663679,3.8,0.8313669757236426,0.8306889139113522,0.69718051995606,0.9134849857353176,413.9521572589874
adult,4,Optuna (TPE),logistic_regression,0.8100223150501232,0.6808755214693459,0.9068085712123237,1.0,0.8108669135781847,0.8070426860477019,0.6761724789555059,0.9049718200141617,75.61946511268616
adult,4,Optuna (TPE),random_forest,0.8301897589853408,0.698897615163158,0.9145199791442323,6.2,0.83187879556044,0.8313031016480704,0.6981684981684981,0.9136047646330271,857.3256866931915
