dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
telco,5,AMSCO,logistic_regression,0.798013241901904,0.7927608232789212,0.5955678670360111,0.8511198945981555,35.93724346160889
telco,5,AMSCO,random_forest,0.742454937029256,0.7437899219304471,0.621196222455404,0.8270557234751608,241.6450481414795
telco,5,Optuna (TPE),logistic_regression,0.7980130842977394,0.7934705464868701,0.5952712100139083,0.8510320597277119,16.895317792892456
telco,5,Optuna (TPE),random_forest,0.7483119805957753,0.7366926898509581,0.6155440414507772,0.8227014389418481,147.93356227874756
