dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
credit,8,AMSCO,logistic_regression,0.9755408961168033,0.9768270944741533,0.44549763033175355,0.9922448979591837,103.88040781021118
credit,8,AMSCO,random_forest,0.9977966987976892,0.9983164983164983,0.9119170984455959,0.9907,1192.3024582862854
credit,8,Optuna (TPE),logistic_regression,0.9755408961168033,0.9768270944741533,0.44549763033175355,0.9922448979591837,54.96062707901001
credit,8,Optuna (TPE),random_forest,0.9977719401940744,0.9984155278272925,0.9166666666666666,0.9947311224489797,593.3754968643188
