dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
credit,8,AMSCO,logistic_regression,0.9754171184215441,0.41551521600762664,0.9764814548847778,1.0,0.9755408961168033,0.9768270944741533,0.44549763033175355,0.9922448979591837,75.38322305679321
credit,8,AMSCO,random_forest,0.9977719432586374,0.8793431249871084,0.9821713201882506,1.0,0.9979204826220742,0.9981184392949098,0.8994708994708994,0.991605612244898,783.7672600746155
credit,8,Optuna (TPE),logistic_regression,0.9755408961168033,0.41698757512820495,0.9761444539110679,1.0,0.9755408961168033,0.9768270944741533,0.44549763033175355,0.9922448979591837,96.80091166496277
credit,8,Optuna (TPE),random_forest,0.9976729180378671,0.8747124798720158,0.9816142729633237,1.0,0.9977719401940744,0.9984155278272925,0.9166666666666666,0.9947311224489797,1269.9432003498077
