dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
breast_cancer,6,AMSCO,logistic_regression,0.9692307692307693,0.975019878821523,0.9957688338493291,1.4,0.9758241758241759,0.9912280701754386,0.993103448275862,0.998015873015873,11.262260913848877
breast_cancer,6,AMSCO,random_forest,0.9538461538461538,0.9626280387777415,0.9930856553147575,1.8,0.9626373626373625,0.9649122807017544,0.9722222222222222,0.9818121693121693,143.18828797340393
breast_cancer,6,Optuna (TPE),logistic_regression,0.9714285714285715,0.9768208414049727,0.9954592363261094,1.4,0.9758241758241759,0.9912280701754386,0.993103448275862,0.9976851851851851,19.562700510025024
breast_cancer,6,Optuna (TPE),random_forest,0.9516483516483515,0.9611384264410529,0.9924664602683178,2.6,0.9626373626373625,0.9736842105263158,0.9793103448275862,0.9808201058201058,213.3838188648224
