dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
breast_cancer,7,AMSCO,logistic_regression,0.9736263736263737,0.9789141428021766,0.9933952528379774,2.2,0.9780219780219781,0.9824561403508771,0.9861111111111112,0.9983465608465608,11.576993942260742
breast_cancer,7,AMSCO,random_forest,0.9604395604395604,0.9686266817054765,0.9873065015479876,2.8,0.9736263736263737,0.9473684210526315,0.9577464788732394,0.9943783068783069,135.1072232723236
breast_cancer,7,Optuna (TPE),logistic_regression,0.9692307692307691,0.9753743197933271,0.9920536635706914,1.4,0.9780219780219781,0.9736842105263158,0.9793103448275862,0.9973544973544973,21.67609429359436
breast_cancer,7,Optuna (TPE),random_forest,0.9670329670329669,0.973662999327404,0.9885964912280703,1.2,0.9670329670329672,0.9473684210526315,0.9577464788732394,0.9947089947089948,198.44133591651917
