dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
breast_cancer,2,AMSCO,logistic_regression,0.9780219780219781,0.9912280701754386,0.993103448275862,0.9976851851851851,9.50611162185669
breast_cancer,2,AMSCO,random_forest,0.9538461538461538,0.9649122807017544,0.972972972972973,0.9957010582010581,100.63425612449646
breast_cancer,2,Optuna (TPE),logistic_regression,0.9780219780219781,0.9912280701754386,0.993103448275862,0.9976851851851851,3.9911508560180664
breast_cancer,2,Optuna (TPE),random_forest,0.956043956043956,0.9736842105263158,0.9795918367346939,0.9970238095238095,97.90632247924805
