dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
breast_cancer,7,AMSCO,logistic_regression,0.9780219780219781,0.9736842105263158,0.9793103448275862,0.9973544973544973,8.02264928817749
breast_cancer,7,AMSCO,random_forest,0.9670329670329672,0.9473684210526315,0.9577464788732394,0.9947089947089948,102.81627631187439
breast_cancer,7,Optuna (TPE),logistic_regression,0.9780219780219781,0.9736842105263158,0.9793103448275862,0.9973544973544973,3.7631611824035645
breast_cancer,7,Optuna (TPE),random_forest,0.9670329670329672,0.9473684210526315,0.9577464788732394,0.9947089947089948,52.651124477386475
