dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
telco,0,AMSCO,logistic_regression,0.7965919675461505,0.8019872249822569,0.6304635761589404,0.8496396186933272,27.19942331314087
telco,0,AMSCO,random_forest,0.7435228628481279,0.7444996451383961,0.620253164556962,0.8272753106512698,247.69751715660095
telco,0,Optuna (TPE),logistic_regression,0.7965914947336568,0.8019872249822569,0.631439894319683,0.8497584541062801,29.928226232528687
telco,0,Optuna (TPE),random_forest,0.7488489379843373,0.7473385379701917,0.6228813559322034,0.8276899429073341,206.02244019508362
