dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
telco,4,AMSCO,logistic_regression,0.7983669056471148,0.7934705464868701,0.616600790513834,0.8352941176470589,32.42673587799072
telco,4,AMSCO,random_forest,0.7508002351454135,0.7281760113555713,0.6095820591233435,0.8249153943527344,203.09764575958252
telco,4,Optuna (TPE),logistic_regression,0.7983669056471148,0.7934705464868701,0.616600790513834,0.8353070345397713,16.463107109069824
telco,4,Optuna (TPE),random_forest,0.7495570534955815,0.7338537970191625,0.6122026887280249,0.8250045209124492,188.07801818847656
