dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
adult,7,AMSCO,logistic_regression,0.8113018793801698,0.681797581450289,0.9068707555528542,1.0,0.8114042433475295,0.806223769065411,0.6760225911346911,0.9047364064189516,41.13339924812317
adult,7,AMSCO,random_forest,0.8242263037895956,0.695116003273984,0.9148370238848444,6.0,0.8319042236149137,0.8336574879721568,0.7031963470319634,0.9163956820196623,515.8987936973572
adult,7,Optuna (TPE),logistic_regression,0.8111739137768211,0.6816503713947001,0.9069128438955705,1.0,0.8114298155074122,0.8058143105742656,0.6754491017964072,0.9047297296519482,81.55829739570618
adult,7,Optuna (TPE),random_forest,0.8309060087206699,0.6986805389263112,0.9153329302612917,6.6,0.8320834285165937,0.8361142389190296,0.7059687786960515,0.9155299183051511,891.6592109203339
