dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
adult,1,AMSCO,logistic_regression,0.8083330066398204,0.6786512655615253,0.9056762365115609,1.2,0.8084609787934152,0.8088852492578564,0.6808001367755172,0.9096467656416793,46.20471787452698
adult,1,AMSCO,random_forest,0.8194916779944983,0.6920147889461387,0.9139803657353314,6.6,0.8297032329229769,0.8328385709898659,0.7047550171759176,0.9190113054932869,514.4013476371765
adult,1,Optuna (TPE),logistic_regression,0.8083074148291999,0.678622103044447,0.9056608953202738,1.0,0.8085121656897793,0.8088852492578564,0.6808001367755172,0.9096628244174896,83.65816950798035
adult,1,Optuna (TPE),random_forest,0.8307014052406224,0.6979358407122137,0.9138630103081755,8.0,0.8320322874719507,0.8351929573139523,0.7058823529411765,0.917460396123377,857.2130792140961
