dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
breast_cancer,0,AMSCO,logistic_regression,0.9824175824175825,0.956140350877193,0.965034965034965,0.994047619047619,8.12784457206726
breast_cancer,0,AMSCO,random_forest,0.9670329670329669,0.9473684210526315,0.9583333333333334,0.9712301587301587,113.50332045555115
breast_cancer,0,Optuna (TPE),logistic_regression,0.9824175824175825,0.9649122807017544,0.9722222222222222,0.9953703703703703,5.968467712402344
breast_cancer,0,Optuna (TPE),random_forest,0.9692307692307691,0.9473684210526315,0.9583333333333334,0.9715608465608465,97.2184567451477
