dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
credit,9,AMSCO,logistic_regression,0.9763824802494284,0.4292234851165563,0.9823139970788706,1.0,0.9763824802494284,0.9775203010497128,0.4449877750611247,0.9749438775510204,76.59821581840515
credit,9,AMSCO,random_forest,0.997573883623408,0.8723621187340097,0.9834335463323598,1.0,0.9976976643832302,0.9980194097841156,0.8888888888888888,0.9728413265306124,992.0045220851898
credit,9,Optuna (TPE),logistic_regression,0.97630821056771,0.4285740374499456,0.9822610434923726,1.0,0.9763329661067619,0.9774212715389186,0.44390243902439025,0.9749469387755102,96.78606224060059
credit,9,Optuna (TPE),random_forest,0.9975491250197932,0.8710257390131504,0.9833263591366439,1.0,0.997747172396771,0.9980194097841156,0.8901098901098901,0.9662586734693878,1222.8634259700775
