dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
breast_cancer,5,AMSCO,logistic_regression,0.9824175824175825,0.9649122807017544,0.9714285714285714,0.9996693121693121,8.301957130432129
breast_cancer,5,AMSCO,random_forest,0.964835164835165,0.956140350877193,0.9645390070921985,0.9970238095238095,95.58699083328247
breast_cancer,5,Optuna (TPE),logistic_regression,0.9824175824175825,0.9649122807017544,0.9714285714285714,0.9996693121693121,7.829206943511963
breast_cancer,5,Optuna (TPE),random_forest,0.9604395604395604,0.956140350877193,0.965034965034965,0.9973544973544973,72.29719066619873
