dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
telco,0,AMSCO,logistic_regression,0.7953495739171411,0.6151352147348683,0.8397954427963024,5.8,0.7965919675461505,0.8019872249822569,0.6304635761589404,0.8496370353147846,30.369298934936523
telco,0,AMSCO,random_forest,0.743168568686259,0.6180894018642119,0.8299304367597307,8.2,0.7481379855981315,0.7473385379701917,0.6228813559322034,0.8299684827817819,283.334450006485
telco,0,Optuna (TPE),logistic_regression,0.7962365701551297,0.6116763960265506,0.8394286944795765,2.0,0.7965914947336568,0.8019872249822569,0.631439894319683,0.8497584541062801,51.684290409088135
telco,0,Optuna (TPE),random_forest,0.7451178169931962,0.6206020259896595,0.8278440978151023,15.4,0.7488489379843373,0.7473385379701917,0.6228813559322034,0.8276899429073341,483.6634931564331
