dataset,seed,method,model,nested_accuracy,nested_f1,nested_auc,avg_trials_to_95,refit_val_score,test_accuracy,test_f1,test_auc,time
telco,6,AMSCO,logistic_regression,0.7985423190822394,0.621096014115684,0.8459958556436019,4.4,0.7999621750005123,0.7821149751596878,0.5868102288021534,0.8281355757059082,28.08267617225647
telco,6,AMSCO,random_forest,0.7397904810236705,0.6171754182124094,0.8318264274044271,5.6,0.7451157681390572,0.7359829666430092,0.608421052631579,0.8164225373944044,208.71879959106445
telco,6,Optuna (TPE),logistic_regression,0.8001396372897757,0.6211163532667638,0.8458334591013461,2.0,0.8003170995790393,0.7821149751596878,0.5868102288021534,0.8281433258415355,47.4085476398468
telco,6,Optuna (TPE),random_forest,0.7394325619660175,0.6137672698839829,0.8323550003242127,17.2,0.7451146649099055,0.7381121362668559,0.6160249739854319,0.817244051770906,426.4750852584839
