dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
adult,4,AMSCO,logistic_regression,0.8108924988385595,0.8071450506704883,0.6762886597938145,0.9049537466965832,62.04518914222717
adult,4,AMSCO,random_forest,0.8313669757236426,0.8306889139113522,0.69718051995606,0.9134849857353176,732.3019847869873
adult,4,Optuna (TPE),logistic_regression,0.8108669135781847,0.8070426860477019,0.6761724789555059,0.9049718200141617,43.41233849525452
adult,4,Optuna (TPE),random_forest,0.83187879556044,0.8313031016480704,0.6981684981684981,0.9136047646330271,765.3609836101532
