dataset,seed,method,model,val_score,test_accuracy,test_f1,test_auc,time
credit,7,AMSCO,logistic_regression,0.9776700257034084,0.9777183600713012,0.44168734491315137,0.9866132653061225,135.41558408737183
credit,7,AMSCO,random_forest,0.9980195017137188,0.997722321251733,0.8795811518324608,0.9851331632653062,1437.6754522323608
credit,7,Optuna (TPE),logistic_regression,0.9776947812424602,0.977619330560507,0.4405940594059406,0.986554081632653,61.41086506843567
credit,7,Optuna (TPE),random_forest,0.9979947492392298,0.9976232917409388,0.875,0.9896,882.8747775554657
