seed,dataset,model,score,accuracy,f1,roc_auc,exec_time
2,adult,random_forest,0.6870964348818763,0.8084867310850598,0.6819762960684883,0.9116363702067313,186.88325174199963
2,adult,logistic_regression,0.7570398085455659,0.8064650533738599,0.6763194854386531,0.9052321199831745,15.574119711000094
