seed,dataset,model,score,accuracy,f1,roc_auc,exec_time
1,breast_cancer,random_forest,1.7606035120573462,0.9560627231796305,0.9648709068062026,0.9921183214705979,249.992210237775
1,breast_cancer,logistic_regression,1.608806951398925,0.9771619313771154,0.9817335756181432,0.9957628848023541,8.59502106020227
1,telco,random_forest,0.7229098813415212,0.6893453811536228,0.5818670412075199,0.8012633752636953,335.4974820311181
1,telco,logistic_regression,1.8173190727427817,0.7634529848699916,0.631363479614055,0.8434637480669975,73.89000916900113
2,breast_cancer,random_forest,1.2718440133143227,0.9560782487191428,0.9655848919933426,0.989407547784554,245.09377281507477
2,breast_cancer,logistic_regression,0.8968468757030283,0.9771774569166279,0.9818751001580923,0.9961085635258581,8.758084158878773
2,telco,random_forest,0.7122672794872503,0.7322182076262985,0.6132687527469725,0.825464142760555,330.3070426187478
2,telco,logistic_regression,1.7699422255616384,0.7644493193109232,0.6328517347155184,0.8436921747760728,74.96516895107925
3,breast_cancer,random_forest,0.9020570354858338,0.9631268436578171,0.9705973664637003,0.9912688339338356,225.39970954600722
3,breast_cancer,logistic_regression,0.8398009764334449,0.9754230709517155,0.9804352589060839,0.9946708675827575,8.659213630948216
3,telco,random_forest,0.9088255714252274,0.7334938947674045,0.6147448191982752,0.8258889221296876,334.1105236429721
3,telco,logistic_regression,0.8590171205537582,0.7733904203497,0.6331392335856358,0.844871682648975,74.93214685516432
4,breast_cancer,random_forest,1.0599082305664893,0.95960254618848,0.9677060678145413,0.9907173012233608,260.3574424730614
4,breast_cancer,logistic_regression,0.8494467361242843,0.9789318428815401,0.983155894403143,0.9961951294329283,8.61712528206408
4,telco,random_forest,1.6875780528310402,0.743438689592877,0.6211825490548485,0.8303037967067155,330.51419038465247
4,telco,logistic_regression,1.1382022165761372,0.7682839417059165,0.633129981074789,0.8445441131554745,75.68951313989237
5,breast_cancer,random_forest,4.23455181996568,0.9490917559385188,0.9594758058842565,0.9910359226851202,234.48885672399774
5,breast_cancer,logistic_regression,0.99230842121626,0.9806862288464524,0.9847115662924308,0.9950438418625447,8.685940267052501
5,telco,random_forest,1.9157770767489617,0.7360485958771534,0.6145643174760258,0.8290071862621966,335.2723062080331
5,telco,logistic_regression,0.9402972360880887,0.7702677390476806,0.6353377836215833,0.8452682252080995,76.66999140800908
6,breast_cancer,random_forest,0.9599131933405887,0.9613258810743673,0.9691457852558798,0.9896171819894388,263.426061023958
6,breast_cancer,logistic_regression,1.2100167904531385,0.9789163173420278,0.9831488623124655,0.9947510212004153,8.890259500127286
6,telco,random_forest,11.298677905956776,0.7381783703787341,0.615975606121427,0.828686419575322,376.51557678868994
6,telco,logistic_regression,0.7549030325887902,0.7684209465126782,0.6343426674869432,0.844017691527816,79.97611522907391
7,breast_cancer,random_forest,1.0027380049839525,0.9596491228070174,0.9677435917894271,0.9914303867996956,249.02820636657998
7,breast_cancer,logistic_regression,0.8773736178065177,0.971914299021891,0.9775820199179505,0.9941852449754514,8.737537453882396
7,telco,random_forest,0.8808831210426622,0.6920377927608232,0.5853531162577325,0.8018120837615788,329.26200450910255
7,telco,logistic_regression,0.9900160603919903,0.7742433987676625,0.6352878019354576,0.8445826002564182,78.84578605741262
8,breast_cancer,random_forest,3.023143491174818,0.9560006210215806,0.9650736500507915,0.9885908690731815,214.75342058669776
8,breast_cancer,logistic_regression,0.8796761722296648,0.9753454432541531,0.9801728625346604,0.9941343365966688,8.63209272781387
8,telco,random_forest,1.091461689396191,0.7306515742951157,0.6129058047723913,0.8260241845070553,333.8802691581659
8,telco,logistic_regression,1.7542403330821283,0.7617476329118007,0.6314849220512564,0.8435779778572648,75.0793292131275
9,breast_cancer,random_forest,1.4142663351847022,0.9648501785437045,0.9720249679375677,0.991558394293409,246.18281471403316
9,breast_cancer,logistic_regression,1.7131272368646724,0.9789163173420278,0.9831721025239583,0.9956412462717736,8.698044524062425
9,telco,random_forest,1.0244976661420615,0.7396000346796568,0.6186220885369397,0.8289386667811834,339.8079969920218
9,telco,logistic_regression,1.3218695763708646,0.7721162454029292,0.6339344674705447,0.8453133603736511,75.9578855978325
10,breast_cancer,random_forest,1.9467940785308901,0.9490296537804689,0.9596457489766026,0.9900384000818001,218.21650781622157
10,breast_cancer,logistic_regression,0.77951877555263,0.9789007918025151,0.9831922262420143,0.9944548427516,8.789734681136906
10,telco,random_forest,1.4703945489347774,0.73037272565972,0.6097056212616605,0.8268932801076735,337.3543798192404
10,telco,logistic_regression,1.236082731413034,0.7682821270727144,0.6340987560904361,0.8442435284401253,74.74473937414587
